,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0,06/09/2024,06/10/2024,AIR TRANSAT SXJFY,Travel,Sale,-219.83,
1,06/09/2024,06/10/2024,AIR TRANSAT SXJFY,Travel,Sale,-2956.63,
2,06/08/2024,06/09/2024,COOPERS HAWK NAPERVILLE,Food & Drink,Sale,-7.38,
3,06/07/2024,06/09/2024,GLO NAIL LOUNGE,Personal,Sale,-65.0,
4,06/07/2024,06/09/2024,TST* JOJOS SHAKE BAR - N,Food & Drink,Sale,-7.65,
5,06/07/2024,06/07/2024,Payment Thank You - Web,,Payment,2000.0,
6,06/06/2024,06/07/2024,LinkedIn Pre P,Bills & Utilities,Sale,-69.99,
7,06/05/2024,06/06/2024,DD DOORDASH NICKSREDH,Food & Drink,Sale,-58.61,
8,06/03/2024,06/04/2024,CASEYS FOODS,Groceries,Sale,-27.88,
9,06/01/2024,06/03/2024,TRADER JOE S #,Groceries,Sale,-34.81,
10,06/02/2024,06/03/2024,CHIPOTLE ONLINE,Food & Drink,Sale,-255.34,
11,05/31/2024,06/02/2024,SHRED,Health & Wellness,Sale,-169.0,
12,05/29/2024,05/29/2024,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-182.56,
13,05/28/2024,05/28/2024,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-73.75,
14,05/26/2024,05/28/2024,EVEREVE - ,Shopping,Sale,-710.07,
15,05/26/2024,05/28/2024,LULULEMON NAPERVILLE,Shopping,Sale,-190.67,
16,05/26/2024,05/27/2024,KRISERS NAPERVILLE,Shopping,Sale,-117.42,
17,05/25/2024,05/26/2024,DD DOORDASH DASHMART,Food & Drink,Sale,-20.81,
18,05/24/2024,05/26/2024,SQ *SWEET HOME GELATO,Food & Drink,Sale,-22.03,
19,05/22/2024,05/24/2024,STARBUCKS STORE ,Food & Drink,Sale,-7.7,
20,05/23/2024,05/23/2024,UBER TRIP,Travel,Sale,-101.93,
21,05/23/2024,05/23/2024,UBER TRIP,Travel,Sale,-112.42,
22,05/21/2024,05/22/2024,SMALL SMILES LLC,Health & Wellness,Sale,-114.97,
23,05/20/2024,05/21/2024,TST* DEETTAS BAKERY,Food & Drink,Sale,-127.19,
24,05/20/2024,05/21/2024,RITUAL (RITUAL.COM),Groceries,Sale,-33.58,
25,05/18/2024,05/20/2024,FSP*BOUNCE HOUSES R US LL,Entertainment,Sale,-50.0,
26,05/18/2024,05/20/2024,TST* SPARROW COFFEE NAPER,Food & Drink,Sale,-14.35,
27,05/18/2024,05/19/2024,SP PARIS,Shopping,Sale,-503.85,
28,05/17/2024,05/19/2024,GLO NAIL LOUNGE,Personal,Sale,-65.0,
29,05/16/2024,05/17/2024,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-575.0,
30,05/13/2024,05/15/2024,LIL ANGELS PHOTOGRAPHY,Shopping,Sale,-80.81,
31,05/12/2024,05/14/2024,STARBUCKS STORE ,Food & Drink,Sale,-6.71,
32,05/11/2024,05/13/2024,THE GROWING PLACE NAPER,Home,Sale,-459.2,
33,05/12/2024,05/13/2024,WORLD MARKET ECOMM,Home,Sale,-68.95,
34,05/11/2024,05/13/2024,STARBUCKS STORE ,Food & Drink,Sale,-11.01,
35,05/12/2024,05/13/2024,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-67.43,
36,05/10/2024,05/10/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-122.74,
37,05/08/2024,05/08/2024,Payment Thank You - Web,,Payment,3500.0,
38,05/06/2024,05/08/2024,HOMEDEPOT.COM,Home,Sale,-59.94,
39,05/06/2024,05/07/2024,WORLD MARKET ECOMM,Home,Sale,-1018.21,
40,05/06/2024,05/07/2024,LinkedIn Pre ,Bills & Utilities,Sale,-69.99,
41,05/05/2024,05/06/2024,THE GROWING PLACE NAPER,Home,Sale,-614.8,
42,05/04/2024,05/06/2024,STARBUCKS STORE ,Food & Drink,Sale,-12.4,
43,05/03/2024,05/05/2024,GLO NAIL LOUNGE,Personal,Sale,-75.0,
44,05/03/2024,05/05/2024,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-58.4,
45,04/30/2024,05/01/2024,SHRED,Health & Wellness,Sale,-169.0,
46,04/27/2024,04/29/2024,PLAYROOM CAFE TWO LLC,Food & Drink,Sale,-21.86,
47,04/27/2024,04/28/2024,DD DOORDASH AURELIOSP,Food & Drink,Sale,-61.1,
