Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/08/2024,06/09/2024,COOPERS HAWK WINE C D,Food & Drink,Sale,-15.00,
06/04/2024,06/05/2024,GOING.COM/HELP,Bills & Utilities,Sale,-49.00,
06/04/2024,06/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
06/03/2024,06/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.44,
05/30/2024,05/31/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.00,
05/28/2024,05/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
05/28/2024,05/28/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
05/19/2024,05/20/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
05/12/2024,05/12/2024,Payment Thank You - Web,,Payment,193.67,
05/05/2024,05/05/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
05/03/2024,05/05/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.41,
04/30/2024,04/30/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.00,
04/28/2024,04/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
04/23/2024,04/23/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
04/19/2024,04/21/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
04/12/2024,04/12/2024,Payment Thank You - Web,,Payment,279.66,
04/04/2024,04/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
04/03/2024,04/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.48,
03/30/2024,03/31/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.00,
03/28/2024,03/28/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
03/26/2024,03/26/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
03/19/2024,03/20/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
03/13/2024,03/13/2024,Payment Thank You - Web,,Payment,232.21,
03/08/2024,03/10/2024,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
03/04/2024,03/06/2024,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-55.00,
03/04/2024,03/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
03/03/2024,03/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.48,
03/02/2024,03/03/2024,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.00,
03/01/2024,03/01/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.00,
02/28/2024,02/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
02/27/2024,02/28/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
02/19/2024,02/20/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
02/16/2024,02/16/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-33.42,
02/14/2024,02/14/2024,Payment Thank You - Web,,Payment,1537.45,
02/08/2024,02/09/2024,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
02/04/2024,02/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
02/03/2024,02/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.60,
01/30/2024,01/30/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.00,
01/28/2024,01/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
01/23/2024,01/23/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
01/17/2024,01/17/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-103.09,
01/13/2024,01/14/2024,Payment Thank You - Web,,Payment,3300.00,
01/11/2024,01/12/2024,COOPERS HAWK WINE C D,Food & Drink,Sale,-9.00,
01/08/2024,01/09/2024,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
01/04/2024,01/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.26,
01/03/2024,01/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.69,
12/30/2023,12/31/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.00,
12/28/2023,12/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
12/26/2023,12/27/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
12/17/2023,12/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-105.51,
12/13/2023,12/13/2023,Payment Thank You - Web,,Payment,2000.00,
12/12/2023,12/13/2023,VEGA US,Groceries,Sale,-6.95,
12/08/2023,12/10/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
12/09/2023,12/10/2023,TARGET.COM  *,Shopping,Return,49.02,
12/03/2023,12/05/2023,PLAYROOM CAFE TWO  LLC,Food & Drink,Sale,-5.29,
12/03/2023,12/05/2023,PLAYROOM CAFE TWO  LLC,Food & Drink,Sale,-1.08,
12/04/2023,12/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
12/03/2023,12/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.52,
11/30/2023,11/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.00,
11/28/2023,11/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
11/27/2023,11/28/2023,TARGET.COM  *,Shopping,Sale,-49.02,
11/27/2023,11/28/2023,TARGET.COM  *,Shopping,Sale,-25.41,
11/27/2023,11/28/2023,TARGET.COM  *,Shopping,Sale,-7.56,
11/26/2023,11/27/2023,GLO NAIL LOUNGE,Personal,Sale,-65.00,
11/22/2023,11/23/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-18.00,
11/21/2023,11/21/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
11/14/2023,11/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,34.18,
11/08/2023,11/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
11/06/2023,11/08/2023,DU PAGE VALLEY ANESTHESI,Health & Wellness,Sale,-180.33,
11/05/2023,11/05/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
11/03/2023,11/05/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.37,
11/01/2023,11/03/2023,THE GROVE-CHICAGO,Food & Drink,Sale,-9.55,
11/01/2023,11/03/2023,TST* Berghoff Cafe - Oha,Food & Drink,Sale,-27.12,
10/30/2023,10/31/2023,GLO NAIL LOUNGE,Personal,Sale,-65.00,
10/30/2023,10/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.00,
10/27/2023,10/29/2023,LOFT 1332 MAIN ST PROMEN,Shopping,Sale,-12.72,
10/26/2023,10/29/2023,LOY*LPDPATHOLOGY,Health & Wellness,Sale,-132.70,
10/28/2023,10/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
10/25/2023,10/27/2023,STARBUCKS STORE 60979,Food & Drink,Sale,-6.71,
10/26/2023,10/27/2023,EEH-MYCHART,Health & Wellness,Sale,-1373.85,
10/25/2023,10/27/2023,LOY*LPDPATHOLOGY,Health & Wellness,Sale,-158.70,
10/25/2023,10/26/2023,CD One Price Cleaners #13,Personal,Sale,-8.58,
10/25/2023,10/26/2023,GLO NAIL LOUNGE,Personal,Sale,-70.00,
10/24/2023,10/25/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
10/23/2023,10/24/2023,EEH-MYCHART,Health & Wellness,Sale,-1479.65,
10/20/2023,10/22/2023,TST* Sparrow Coffee Naper,Food & Drink,Sale,-13.45,
10/20/2023,10/22/2023,WALGREENS #3405,Health & Wellness,Sale,-17.04,
10/19/2023,10/20/2023,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-579.00,
10/18/2023,10/19/2023,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-299.83,
10/18/2023,10/19/2023,TARGET.COM  *,Shopping,Sale,-50.62,
10/18/2023,10/19/2023,TARGET.COM  *,Shopping,Sale,-32.02,
10/18/2023,10/19/2023,TARGET.COM  *,Shopping,Sale,-38.48,
10/18/2023,10/18/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,0.09,
10/16/2023,10/18/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-1432.14,
10/17/2023,10/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-106.36,
10/16/2023,10/16/2023,Payment Thank You Bill Pa,,Payment,5315.86,
