Date,Transaction,Description,Memo,Amount
2024-01-22,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004022898000026511; 05300; ; ; ;,-266.64
2024-01-22,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004022898002358979; 05300; ; ; ;,-3.79
2024-01-23,DEBIT,SIF CAR CARE LLC NAPERVILLE IL,24269794022500518994535; 07542; ; ; ;,-15.0
2024-01-24,DEBIT,AMZN Mktp US*RRN Amzn.com/bill WA,24692164023100182924801; 05942; ; ; ;,-64.64
2024-01-25,DEBIT,BUIKEMA S ACE HARDWARE NAPERVILLE IL,24137464024100365849433; 05251; ; ; ;,-20.46
2024-01-25,DEBIT,EVERWASH -- HTTPSEVERWASH PA,24011344024000050386136; 05734; ; ; ;,-14.5
2024-01-25,DEBIT,VOLVO OF LISLE LISLE IL,24223694024017018208550; 05511; ; ; ;,-41.39
2024-01-25,DEBIT,EOLA POINT ANIMAL HOSP AURORA IL,24445004024300404287394; 00742; ; ; ;,-54.0
2024-01-29,DEBIT,AMZN Mktp US*RPV Amzn.com/bill WA,24692164029104526274067; 05942; ; ; ;,-10.76
2024-01-29,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004028898000048774; 05300; ; ; ;,-335.39
2024-01-30,DEBIT,AMZN Mktp US*RLYE Amzn.com/bill WA,24692164029104741650471; 05942; ; ; ;,-32.8
2024-01-30,DEBIT,SP DEGREES DEGREES.MYS NY,24492164029000026109237; 05691; ; ; ;,-29.71
2024-01-31,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344030000023189536; 05331; ; ; ;,-8.6
2024-01-31,DEBIT,BARBER HAUS SHOPS.GETSQUI NY,24492164030000035688814; 07230; ; ; ;,-73.0
2024-02-01,DEBIT,Amazon.com*RICZZ Amzn.com/bill WA,24692164031106297959434; 05942; ; ; ;,-56.88
2024-02-05,DEBIT,AMZN Mktp US*RERI Amzn.com/bill WA,24692164035109856732248; 05942; ; ; ;,-37.68
2024-02-05,DEBIT,AMZN Mktp US*RBL Amzn.com/bill WA,24692164035109925168689; 05942; ; ; ;,-23.25
2024-02-05,DEBIT,AMZN Mktp US*RBMG Amzn.com/bill WA,24692164035109924495091; 05942; ; ; ;,-9.87
2024-02-05,DEBIT,Amazon.com*RBNM Amzn.com/bill WA,24692164035109908195295; 05942; ; ; ;,-48.48
2024-02-05,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004036898000038445; 05300; ; ; ;,-357.43
2024-02-05,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004036898002351119; 05300; ; ; ;,-3.79
2024-02-05,DEBIT,ANDERSONS BKSH NAPERVILLE IL,24943004036400487000335; 05942; ; ; ;,-47.38
2024-02-05,DEBIT,SP DEGREES DEGREES.MYS NY,24492164034000042295401; 05691; ; ; ;,-59.96
2024-02-05,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344035000005884208; 05331; ; ; ;,-46.68
2024-02-06,DEBIT,AMAZON.COM*RBXQFD SEATTLE WA,24431064037083713933842; 05942; ; ; ;,-76.16
2024-02-12,DEBIT,TARGET WARRENVILLE IL,24164074042091253055855; 05411; ; ; ;,-175.2
2024-02-12,DEBIT,AMZN Mktp US*RIGHH Amzn.com/bill WA,24692164041101449955669; 05942; ; ; ;,-28.74
2024-02-12,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004042898000068253; 05300; ; ; ;,-340.59
2024-02-12,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004042898000925759; 05912; ; ; ;,-7.82
2024-02-12,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004042898002355401; 05300; ; ; ;,-3.79
2024-02-13,DEBIT,AMZN Mktp US*RIPP Amzn.com/bill WA,24692164043102853338135; 05942; ; ; ;,-19.38
2024-02-14,DEBIT,PLAYROOM CAFE TWO LLC NAPERVILLE IL,24692164044103663221437; 05812; ; ; ;,-7.67
2024-02-14,DEBIT,PLAYROOM CAFE TWO LLC NAPERVILLE IL,24692164044103663221379; 05812; ; ; ;,-16.0
2024-02-14,DEBIT,WALGREENS # NAPERVILLE IL,24445004045000840255196; 05912; ; ; ;,-8.83
2024-02-16,DEBIT,AMZN Mktp US*RBKWQ Amzn.com/bill WA,24692164047105769982975; 05942; ; ; ;,-10.52
2024-02-20,DEBIT,AMZN Mktp US*RIAWWL Amzn.com/bill WA,24692164050108653231800; 05942; ; ; ;,-112.92
2024-02-20,DEBIT,AMZN Mktp US*RWTTY Amzn.com/bill WA,24692164049107524420067; 05942; ; ; ;,-45.24
2024-02-20,DEBIT,AMZN Mktp US*RICQTH Amzn.com/bill WA,24692164049107697477787; 05942; ; ; ;,-27.6
2024-02-20,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344049000051624791; 05331; ; ; ;,-96.96
2024-02-20,DEBIT,COSTCO GAS # NAPERVILLE IL,24943004050898110985551; 05542; ; ; ;,-38.83
2024-02-20,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004050898000026789; 05300; ; ; ;,-234.12
2024-02-20,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004050898002355301; 05300; ; ; ;,-2.92
2024-02-20,DEBIT,Amazon.com*RWSCNL Amzn.com/bill WA,24692164048107104824366; 05942; ; ; ;,-49.5
2024-02-20,DEBIT,Amazon.com*RIOSQ Amzn.com/bill WA,24692164048107277159533; 05942; ; ; ;,-47.48
2024-02-21,DEBIT,Amazon.com*RWZEU Amzn.com/bill WA,24692164051109170115178; 05942; ; ; ;,-19.9
2024-02-22,DEBIT,AMZN Mktp US*RWBT Amzn.com/bill WA,24692164052109954870831; 05942; ; ; ;,-25.85
2024-02-22,DEBIT,AMZN Mktp US*RILR Amzn.com/bill WA,24692164053100442660057; 05942; ; ; ;,-13.52
2024-02-23,DEBIT,THE CLEANING AUTHORITY -- IL,24269794053300674610922; 07349; ; ; ;,-299.0
2024-02-26,DEBIT,Amazon.com*RZOX Amzn.com/bill WA,24692164056103123959183; 05942; ; ; ;,-8.6
2024-02-26,DEBIT,EVERWASH -- HTTPSEVERWASH PA,24011344055000059500564; 05734; ; ; ;,-29.0
2024-02-26,DEBIT,AMZN Mktp US*RWUNVA Amzn.com/bill WA,24692164054101615507439; 05942; ; ; ;,-21.54
2024-02-26,DEBIT,AMAZON.COM*RWOTMG SEATTLE WA,24431064054083719237717; 05942; ; ; ;,-18.71
2024-02-26,DEBIT,AMZN Mktp US*RITBYF Amzn.com/bill WA,24692164054101892313386; 05942; ; ; ;,-40.91
2024-02-27,DEBIT,AMZN Mktp US*RWXCI Amzn.com/bill WA,24692164057103913069390; 05942; ; ; ;,-20.45
2024-02-27,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344058000015478720; 05331; ; ; ;,-11.03
2024-02-27,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004058898000043976; 05300; ; ; ;,-322.47
2024-02-28,DEBIT,AMZN Mktp US*RZNNC Amzn.com/bill WA,24692164058104769805795; 05942; ; ; ;,-23.65
2024-02-28,DEBIT,Amazon.com*RZXDKW Amzn.com/bill WA,24692164058105050128029; 05942; ; ; ;,-19.7
2024-03-01,DEBIT,AMAZON.COM*RWXIU SEATTLE WA,24431064060083325334215; 05942; ; ; ;,-10.76
2024-03-04,DEBIT,AMZN Mktp US*RNBOXN Amzn.com/bill WA,24692164063109174515254; 05942; ; ; ;,-23.6
2024-03-04,DEBIT,SQ *SWEET HOME GELATO Naperville IL,24692164063109602845034; 05814; ; ; ;,-14.45
2024-03-04,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004064898000028052; 05300; ; ; ;,-192.61
2024-03-04,DEBIT,ANDERSONS BKSH NAPERVILLE IL,24943004064400485000969; 05942; ; ; ;,-10.76
2024-03-04,DEBIT,Amazon Prime*RZCR Amzn.com/bill WA,24692164062108526885259; 05968; ; ; ;,-139.0
2024-03-04,DEBIT,AMZN Mktp US*RZSQD Amzn.com/bill WA,24692164062108689050162; 05942; ; ; ;,-40.1
2024-03-04,DEBIT,ACT*Dupage Forest - IL,24013394062000228338437; 07999; ; ; ;,-55.0
2024-03-04,DEBIT,AMAZON.COM*RZMD SEATTLE WA,24431064063083334899312; 05942; ; ; ;,-25.42
